user_birthdate,account_created_date,last_purchase_date,total_orders,total_spent,is_premium,age_at_signup,days_since_last_purchase,average_order_value,customer_lifetime
2004-11-22,2023-08-28,2024-11-23,14,1367.5527427533568,True,18.76249144421629,39.0,97.68233876809691,453.0
1973-08-06,2024-03-01,2024-12-30,28,2789.7467299164296,False,50.56810403832991,2.0,99.63381178272962,304.0
1984-06-29,2024-09-09,2024-10-14,5,75.14201960480752,False,40.19712525667351,79.0,15.028403920961503,35.0
1967-03-16,2022-05-20,2023-10-14,47,3587.660405225967,True,55.17864476386037,445.0,76.33320011119079,512.0
1998-05-21,2023-03-20,2023-10-26,49,2897.4885464276012,False,24.829568788501028,433.0,59.132419314849,220.0
1979-03-27,2022-04-16,2022-06-01,30,2205.745006472475,False,43.05544147843943,945.0,73.5248335490825,46.0
2002-09-04,2023-06-21,2023-09-28,46,4470.219048052919,True,20.79397672826831,461.0,97.17867495767214,99.0
1996-03-21,2022-11-03,2022-12-10,5,359.6135045787676,True,26.62012320328542,753.0,71.92270091575352,37.0
1986-05-01,2023-02-27,2024-07-08,12,1023.9209841763636,True,36.82683093771389,177.0,85.32674868136364,497.0
1998-08-08,2022-05-14,2024-01-11,16,1408.2909356476116,False,23.76454483230664,356.0,88.01818347797573,607.0
2004-03-21,2022-09-12,2023-01-06,26,2222.044987207725,True,18.477754962354553,726.0,85.46326873875866,116.0
1975-02-10,2024-01-27,2024-07-06,26,1257.0540516098422,True,48.96098562628337,179.0,48.348232754224696,161.0
1977-06-07,2023-03-10,2023-07-16,48,1441.530123906852,True,45.75496235455168,535.0,30.03187758139275,128.0
1970-04-13,2024-06-20,2024-08-13,21,959.6715276935361,True,54.18754277891855,141.0,45.69864417588267,54.0
1996-06-29,2022-04-08,2024-08-27,39,3520.558149806486,True,25.7741273100616,127.0,90.2707217899099,872.0
1985-02-21,2022-09-21,,0,0.0,True,37.57973990417522,-1.0,0.0,0.0
1980-06-24,2023-05-28,2023-10-30,33,1854.578721016407,False,42.92402464065709,429.0,56.19935518231536,155.0
1971-06-14,2023-08-14,2024-11-30,30,929.7157955462251,False,52.167008898015055,32.0,30.990526518207503,474.0
1966-09-01,2024-02-06,2024-12-01,37,2305.747039365185,True,57.43189596167009,31.0,62.31748755041041,299.0
1988-03-13,2022-09-06,2022-10-15,23,2016.696740517238,True,34.483230663928815,809.0,87.68246697901034,39.0
1991-06-24,2022-12-09,2024-05-30,10,892.3239717745752,True,31.460643394934976,216.0,89.23239717745751,538.0
2006-07-29,2024-04-06,2024-04-19,5,156.50833715693545,False,17.689253935660506,257.0,31.30166743138709,13.0
1995-04-02,2023-04-02,,0,0.0,False,28.0,-1.0,0.0,0.0
1979-03-01,2024-08-19,,0,0.0,False,45.47022587268994,-1.0,0.0,0.0
