product_code,color,weight_kg,income_usd,sqft,house_price,product_category,product_id
B95,Blue,54.55001051403002,11564.84092644473,2371.707457113041,355628.67706207244,B,95
A37,Red,61.57264903513078,21725.06723027196,2895.879765722225,443296.93963448313,A,37
B75,Red,73.92041889732596,21725.06723027196,2420.417213117219,367858.3912119137,B,75
C51,Red,68.75474752406316,11507.482117069994,3595.291361166304,547564.5681291713,C,51
C54,Red,67.99795104268931,21725.06723027196,2918.3284070170007,447450.03883168736,C,54
A71,Red,90.24720998001007,8636.519730872893,3336.797938856677,506026.22182990855,A,71
C-66,Green,61.46740057962023,30735.490088810326,3947.2899015796515,588572.238033911,C,66
C15,Blue,69.85719452294906,17019.20745371441,3230.9690638017496,480392.147228644,C,15
B37,Red,72.01907441802796,679.8218553104629,3346.141738643036,501403.67094940244,B,37
A-37,Red,61.95263314924504,16843.78353525037,3257.8341700905653,507084.5562129569,A,37
B-53,Red,55.59347261193183,13122.55447250173,2515.0905038051574,373200.8282768758,B,53
B-93,Blue,72.69317654252539,53789.05916903599,2349.7873354876724,355073.390193891,B,93
B-39,Red,88.13666575878908,12540.784706934188,4598.589588580049,667340.4092099343,B,39
B71,Red,74.04582895117525,279081.12557592645,3430.220889174291,521291.2206765845,B,71
B-84,Red,70.90072586981661,89035.77896481998,1977.412621858618,319183.8760897241,B,84
B-98,Red,70.98266839327326,21725.06723027196,2992.9907913957604,439612.23761673487,B,98
B-71,Red,70.98266839327326,69537.6129602512,2321.393925123656,379953.510139816,B,71
A-10,Red,70.98266839327326,37242.71792278746,4734.767295039499,712037.5003024914,A,10
C-36,Green,64.94557726208137,27818.757336252613,1030.137452536299,128791.30546660142,C,36
B71,Red,70.98266839327326,49150.989401036895,1901.3311908501128,287426.1900095864,B,71
B86,Red,70.98266839327326,21725.06723027196,2461.4272786962306,363816.5081220548,B,86
B-12,Red,70.79009014244056,21725.06723027196,2951.2392032349517,462679.0525477408,B,12
B79,Red,80.60692463180301,50179.03135262142,4403.270071344585,667671.4961842045,B,79
B81,Green,72.37485251621939,21725.06723027196,1351.5504981605754,218408.518932876,B,81
B36,Red,66.82631214729356,28316.35897342692,4223.459546964574,621741.0766297625,B,36
C-18,Red,74.58441296561979,13991.4727679986,1222.6139574279014,176589.47774224612,C,18
C71,Red,71.86212343894626,2895.0832466292295,4369.256141192726,638593.828358891,C,71
B46,Red,70.98266839327326,156577.04559841382,1206.5419114980514,174930.65596478866,B,46
C-60,Red,83.26503887436773,16928.574762248136,1072.9699257134441,149112.039951458,C,60
A53,Red,60.45609871427005,37601.87856937029,3787.845849465686,570303.435043683,A,53
B-33,Red,46.604034363566015,148139.13862169237,4989.022139073577,757031.8112276683,B,33
A-88,Red,66.4846320137955,27656.120008744077,4586.441051896083,678601.0176094451,A,88
A68,Red,59.80658532759929,18130.11665556909,3303.99367122264,486843.8004152773,A,68
B41,Red,78.3195818657451,91096.34644360247,4669.582452342127,688679.0522660691,B,41
C97,Red,62.75666204652901,34917.27835782151,1021.2000255904217,147153.5257855101,C,97
A-61,Red,51.242213614360566,39581.04435451354,4900.2686517805705,748058.7894486865,A,61
B-71,Red,64.25798551192321,4802.246602223084,2962.995117035138,438175.0787114959,B,71
A67,Red,55.0802567454115,73564.30548424512,3891.5843864871026,581727.1743951138,A,67
A61,Red,70.98266839327326,32067.17075881983,4283.44589261341,646705.2780306964,A,61
A-21,Red,74.71641954448069,5588.18943585224,3873.8290833462147,577181.4805846573,A,21
A48,Blue,70.98266839327326,21725.06723027196,3140.146928179642,458672.59529157216,A,48
C-11,Blue,75.36026534904857,2800.2789776869067,2906.477936505648,424978.1322275263,C,11
A-12,Red,78.40171159278425,229114.05206669032,4354.330234810499,658527.1948056443,A,12
A65,Red,81.33342025069074,7318.386799007175,1820.3102405978366,259459.4209440549,A,65
A90,Red,64.60254640675406,110391.98005073731,4871.976266016937,744768.0841780286,A,90
C68,Red,55.80038367008309,9769.733349509828,3843.809915346993,572660.0233980649,C,68
A-11,Red,70.98266839327326,38569.83259763225,1798.027709353279,275866.3145726725,A,11
A11,Blue,69.5475037626068,21725.06723027196,3944.9887347939525,585444.1839787966,A,11
