user_birthdate,account_created_date,last_purchase_date,total_orders,total_spent,is_premium
1967-03-16,2022-05-20,2023-10-14,47,3587.660405225967,True
1998-05-21,2023-03-20,2023-10-26,49,2897.4885464276012,False
1979-03-27,2022-04-16,2022-06-01,30,2205.745006472475,False
2002-09-04,2023-06-21,2023-09-28,46,4470.219048052919,True
1996-03-21,2022-11-03,2022-12-10,5,359.6135045787676,True
1986-05-01,2023-02-27,2024-07-08,12,1023.9209841763636,True
1998-08-08,2022-05-14,2024-01-11,16,1408.2909356476116,False
2004-03-21,2022-09-12,2023-01-06,26,2222.044987207725,True
1975-02-10,2024-01-27,2024-07-06,26,1257.0540516098422,True
1977-06-07,2023-03-10,2023-07-16,48,1441.530123906852,True
1970-04-13,2024-06-20,2024-08-13,21,959.6715276935361,True
1996-06-29,2022-04-08,2024-08-27,39,3520.558149806486,True
1985-02-21,2022-09-21,,0,0.0,True
1980-06-24,2023-05-28,2023-10-30,33,1854.578721016407,False
1971-06-14,2023-08-14,2024-11-30,30,929.7157955462251,False
1966-09-01,2024-02-06,2024-12-01,37,2305.747039365185,True
1988-03-13,2022-09-06,2022-10-15,23,2016.696740517238,True
1991-06-24,2022-12-09,2024-05-30,10,892.3239717745752,True
2006-07-29,2024-04-06,2024-04-19,5,156.50833715693545,False
1995-04-02,2023-04-02,,0,0.0,False
1979-03-01,2024-08-19,,0,0.0,False
